franchise,rs_per_game,ra_per_game,off_rating,def_rating,overall_rating,pythag_winpct,proj_wins,ko,en
LG,5.265050154333484,4.264220918021842,127.05228045780183,118.65341073028735,122.8528455940446,0.5993235733860782,86.3,LG,LG Twins
SS,5.082343144972052,4.596605839101969,117.79254326419941,105.3784035318633,111.58547339803135,0.5480285898679274,78.9,삼성,Samsung Lions
HH,4.693538945553309,4.2624507461190015,98.08763583361161,118.72410901791211,108.40587242576186,0.5450645225049466,78.5,한화,Hanwha Eagles
SK,4.4240194277442715,4.371892772624935,84.42817135996808,114.35314151145852,99.3906564357133,0.5055302525450169,72.8,SSG,SSG Landers
KT,4.599665203297465,4.625255314262986,93.33003958316047,104.23418198367251,98.7821107834165,0.4973756549117224,71.6,KT,KT Wiz
NC,4.945468069756233,5.05868120566924,110.85560510685796,86.9237341760406,98.88966964144927,0.489043108125737,70.4,NC,NC Dinos
HT,4.797914496857937,4.919717080731964,103.37747215623622,92.47377463175772,97.92562339399697,0.4879653136561427,70.3,KIA,KIA Tigers
OB,4.575488730017201,4.699881517797828,92.10475660345534,101.25371167263434,96.67923413804485,0.4872945352149952,70.2,두산,Doosan Bears
LT,4.727169482340907,5.014500295828099,99.792058304437,88.68826035932281,94.24015933187991,0.4716784212357663,67.9,롯데,Lotte Giants
WO,4.202066848454242,5.499518813169237,73.17943733027235,69.31727238505052,71.24835485766144,0.3736594476103216,53.8,키움,Kiwoom Heroes
