,model_strength,tm_value_m,model_strength_eff,z_model,z_tm,rating,synergy_mult,spine,chemistry,n_core
Manchester City,580321857.6031553,1290.0,580321857.6031553,2.850077219478283,1.6440309449203008,132.80127652707088,1.0726,1.0215,1.05,15
Arsenal,403907175.2700225,1250.0,403907175.2700225,1.574909219119166,1.5832729953730351,123.69263944088192,1.0753,1.0241,1.05,15
Liverpool,381332353.3213279,1140.0,381332353.3213279,1.372535676918671,1.4055913155278843,120.86074417230607,1.1092,1.0564,1.05,15
Manchester Utd,352192764.70374775,790.0,352192764.70374775,1.0928250934146195,0.6981641040274676,113.1364232387753,1.0138,0.9656,1.05,15
Chelsea,262082417.11129686,1190.0,262082417.11129686,0.0529810711208262,1.4883896668459184,112.6368369815444,1.0745,1.0233,1.05,15
Aston Villa,318698918.46119744,620.0,318698918.46119744,0.7411952846171018,0.23076434388858716,106.90687400824628,1.0643,1.0136,1.05,15
Newcastle United,284717800.6337662,700.0,284717800.6337662,0.3444681439260704,0.46485795848439576,106.16023812899724,1.1228,1.0694,1.05,15
Tottenham Hotspur,244928821.43134624,820.0,244928821.43134624,-0.18520438165756983,0.7700570993843185,105.10284149373203,1.0504,1.0004,1.05,15
Brighton,210798262.6436924,600.0,210798262.6436924,-0.7132414018146472,0.16751587699352977,96.56762652294775,1.1609,1.1056,1.05,15
West Ham United,239040435.7654224,450.0,239040435.7654224,-0.2708315859907474,-0.3873956311897304,94.97587283724718,1.0951,1.0429,1.05,15
Bournemouth,211664270.66090557,480.0,211664270.66090557,-0.6988153933106448,-0.2629069281045928,93.11401393829026,1.1083,1.0555,1.05,15
Everton,227396005.1517403,420.0,227396005.1517403,-0.44655429636054533,-0.520476354796987,92.69182857249118,1.0783,1.027,1.05,15
Crystal Palace,216176034.57549897,450.0,216176034.57549897,-0.6246002325660047,-0.3873956311897304,92.58793447286419,1.1303,1.0764,1.05,15
Nottingham Forest,192529444.43520162,470.0,192529444.43520162,-1.0322199895437463,-0.30351696317143423,90.52850012441537,1.057,1.0067,1.05,15
Brentford,202800586.44657207,430.0,202800586.44657207,-0.8493390107256795,-0.4750882508567193,90.34748360803373,1.1624,1.107,1.05,15
Wolves,219696091.69242167,380.0,219696091.69242167,-0.5677657491203634,-0.7135278802491357,90.28097618138217,1.1596,1.1044,1.05,15
Fulham,203220070.93617693,360.0,203220070.93617693,-0.8420682509834286,-0.817818436287853,87.56903720648707,1.0745,1.0233,1.05,15
Leeds United,226179841.0812079,280.0,226179841.0812079,-0.46542356866885937,-1.302580198593867,86.11210427308579,1.0777,1.0264,1.05,15
Sunderland,221219184.37714165,240.0,221219184.37714165,-0.5434557593628693,-1.5999222800847328,83.13231481360158,1.1427,1.0883,1.05,15
Burnley,206280544.76069728,230.0,206280544.76069728,-0.7894720884897822,-1.6820157509206342,80.79443345759874,1.1553,1.1003,1.05,15
